
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : H2813641
Data record length      : 40 bytes
Number of data records  : 2541
Max filemap size        : 2541 bytes
Data header size        : 12504 bytes
Free space in map       : -111603 bytes (107371392 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

    44.00	 28128.00	   292.30	    50.00	    11.88	     1.47	   486.00	   960.30	   281.60	     7.20	   187.00	    12.00	     2.00	   300.00	   -89.41	    43.07	     0.00	     0.00	-32768.00	
    46.00	 28125.00	   292.40	    49.00	    11.95	     1.57	   494.00	   959.40	   281.40	     7.12	   188.00	    12.10	     2.00	   400.00	   -89.41	    43.07	     7.00	     7.00	-32768.00	
    48.00	 28121.00	   292.50	    47.00	    11.97	     1.68	   501.00	   958.60	   281.00	     6.92	   188.00	    12.10	     2.00	   400.00	   -89.41	    43.07	     0.00	     0.00	-32768.00	
    50.00	 28118.00	   292.50	    44.00	    11.94	     1.79	   509.00	   957.80	   280.00	     6.49	   189.00	    12.10	     3.00	   400.00	   -89.41	    43.07	     0.00	     0.00	-32768.00	
    52.00	 28114.00	   292.60	    42.00	    11.86	     1.90	   515.00	   957.10	   279.40	     6.21	   189.00	    12.00	     3.00	   400.00	   -89.41	    43.07	     0.00	     0.00	-32768.00	
    54.00	 28111.00	   292.60	    41.00	    11.74	     2.01	   522.00	   956.30	   279.00	     6.07	   190.00	    11.90	     3.00	   500.00	   -89.41	    43.07	     0.00	     0.00	-32768.00	
    56.00	 28108.00	   292.60	    40.00	    11.61	     2.12	   529.00	   955.50	   278.70	     5.95	   190.00	    11.80	     4.00	   500.00	   -89.41	    43.07	     0.00	     0.00	-32768.00	
    58.00	 28104.00	   292.60	    40.00	    11.46	     2.23	   537.00	   954.70	   278.60	     5.88	   191.00	    11.70	     4.00	   500.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    60.00	 28101.00	   292.60	    40.00	    11.30	     2.33	   544.00	   953.90	   278.50	     5.85	   192.00	    11.50	     4.00	   500.00	   -89.41	    43.08	 49152.00	 49152.00	-32768.00	
    62.00	 28097.00	   292.50	    39.00	    11.14	     2.40	   552.00	   953.00	   278.40	     5.81	   192.00	    11.40	     5.00	   500.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    64.00	 28093.00	   292.50	    39.00	    10.99	     2.46	   561.00	   952.00	   278.30	     5.78	   193.00	    11.30	     5.00	   600.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    66.00	 28089.00	   292.50	    40.00	    10.84	     2.51	   569.00	   951.10	   278.50	     5.88	   193.00	    11.10	     5.00	   600.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    68.00	 28085.00	   292.50	    40.00	    10.70	     2.53	   577.00	   950.20	   278.80	     5.99	   193.00	    11.00	     6.00	   600.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    70.00	 28082.00	   292.50	    40.00	    10.56	     2.52	   584.00	   949.40	   278.80	     6.00	   193.00	    10.90	     6.00	   600.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    72.00	 28078.00	   292.60	    39.00	    10.44	     2.49	   592.00	   948.50	   278.20	     5.77	   193.00	    10.70	     6.00	   700.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    74.00	 28074.00	   292.60	    37.00	    10.32	     2.44	   601.00	   947.60	   277.60	     5.55	   193.00	    10.60	     6.00	   700.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    76.00	 28069.00	   292.60	    36.00	    10.20	     2.37	   610.00	   946.60	   277.30	     5.41	   193.00	    10.50	     7.00	   700.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    78.00	 28065.00	   292.60	    35.00	    10.08	     2.29	   619.00	   945.60	   276.90	     5.27	   193.00	    10.30	     7.00	   700.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    80.00	 28061.00	   292.60	    34.00	     9.97	     2.19	   627.00	   944.70	   276.50	     5.15	   192.00	    10.20	     7.00	   700.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    82.00	 28057.00	   292.60	    34.00	     9.85	     2.08	   635.00	   943.90	   276.20	     5.05	   192.00	    10.10	     7.00	   800.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    84.00	 28054.00	   292.70	    33.00	     9.73	     1.96	   641.00	   943.10	   276.00	     4.96	   191.00	     9.90	     7.00	   800.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
    86.00	 28051.00	   292.80	    32.00	     9.61	     1.83	   649.00	   942.30	   275.70	     4.86	   191.00	     9.80	     7.00	   800.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
